15,Section B: Data Readiness,How well is unstructured data supported?,No capability,Manual processing,Centralized storage,AI-ready pipelines,Governed multimodal pipelines,B,2,"Unstructured data is handled manually when needed, without centralized pipelines or AI-ready preprocessing."
16,Section B: Data Readiness,How mature is enterprise data governance?,None,Informal ownership,Defined roles & policies,Active stewardship,Automated governance & lineage,B,2,"Data ownership exists informally within teams, but there are no formal governance roles or enterprise-wide data policies."
17,Section B: Data Readiness,How automated are data pipelines?,Manual,Script-based,Semi-automated,Fully automated,"Self-healing, monitored pipelines",B,2,"Data handling relies on simple scripts or manual processes rather than fully automated, monitored pipelines."
18,Section C: Technology & Architecture,How suitable is infrastructure for AI at scale?,Legacy systems,Basic cloud,Pilot-level compute,Scalable cloud/hybrid,Enterprise AI-optimized,B,2,"The organization uses basic cloud infrastructure sufficient for development and experimentation, but not optimized for large-scale AI workloads."
19,Section C: Technology & Architecture,How portable are AI workloads?,Not portable,Significant rework,Partially portable,Hybrid-ready,Environment-agnostic,B,2,"AI-related workflows depend heavily on specific tools and environments, making portability limited without rework."
20,Section C: Technology & Architecture,How does architecture support experimentation?,No separation,Manual isolation,Separate dev/test,Controlled sandboxes,Automated experimentation platforms,C,3,"Development and testing environments are separated, enabling limited experimentation without impacting production systems."
21,Section C: Technology & Architecture,How modular are AI platform components?,Tightly coupled,Hard to replace,Planned upgrades,Modular components,Continuous evolution,B,2,"AI tools are integrated into existing development workflows but are not designed as modular, easily replaceable components."
22,Section C: Technology & Architecture,How future-ready is the AI architecture?,Not considered,Major re-architecture needed,Some flexibility,Designed for extensibility,Policy-driven and future-proof,C,3,"The current architecture provides some flexibility for future AI adoption, though significant enhancements would be required to support advanced use cases."
23,Section C: Technology & Architecture,How standardized are AI tools across teams?,No standards,Tool sprawl,Preferred tools defined,Enterprise platforms,Fully standardized toolchain,C,3,"Teams have converged on a small set of preferred AI coding tools, creating light standardization without formal enforcement."
24,Section D: AI Use Case & Portfolio Management,How are AI use cases identified and prioritized?,Random ideas,Informal brainstorming,Structured workshops,Strategic backlog,Continuous ROI-driven process,B,2,AI use cases emerge organically through team discussions rather than structured prioritization processes.
25,Section D: AI Use Case & Portfolio Management,How mature are AI pilot projects?,None,Ad-hoc pilots,Multiple pilots,Formal pilot framework,Systematic scale-up,B,2,AI usage takes the form of ad-hoc pilots focused on productivity rather than formally scoped pilot programs.
26,Section D: AI Use Case & Portfolio Management,How often do pilots reach production?,Rarely,Occasionally,About half,Most pilots,Nearly all successful pilots,B,2,"Some AI-assisted workflows become part of daily development practices, but many remain optional or experimental."
27,Section D: AI Use Case & Portfolio Management,How are AI outcomes tied to KPIs?,Not tied,Loosely referenced,Project-level KPIs,Business KPIs,Enterprise value tracking,B,2,"AI benefits are discussed qualitatively, such as perceived productivity gains, rather than being tied to formal KPIs."
28,Section D: AI Use Case & Portfolio Management,How does the organization decide not to use AI?,No criteria,Intuition,Cost/benefit analysis,Risk-based framework,Formal suitability assessment,B,2,Decisions not to use AI are typically based on engineering judgment and perceived complexity rather than formal evaluation criteria.
29,"Section E: Model Development, Deployment & Monitoring",How structured is AI model deployment?,Manual or none,Scripts only,Defined process,MLOps pipelines,Fully automated CI/CD,A,1,The organization does not deploy proprietary AI models; AI usage relies on external tools integrated manually into workflows.
30,"Section E: Model Development, Deployment & Monitoring",How are deployed models monitored?,Not monitored,Manual checks,Performance metrics,Automated drift monitoring,Real-time monitoring,A,1,"There is no direct monitoring of AI models, as model performance is managed by third-party providers."
31,"Section E: Model Development, Deployment & Monitoring",How is model explainability handled?,Black box,Informal explanations,Technical documentation,User-friendly tools,Regulatory-grade explainability,B,2,Explainability is addressed informally through user understanding of AI outputs rather than formal tools or documentation.
32,"Section E: Model Development, Deployment & Monitoring",How are bias and fairness monitored post-deployment?,Not monitored,Ad-hoc reviews,Periodic checks,Automated checks,Continuous governance,A,1,Bias and fairness are not formally monitored due to the limited scope of AI usage and reliance on third-party models.
33,"Section E: Model Development, Deployment & Monitoring",How are AI failures handled operationally?,No response,Case-by-case,Escalation procedures,Incident management integration,Automated containment & learning,B,2,"AI-related issues are handled on a case-by-case basis, typically by disabling or bypassing AI tools when problems arise."
34,"Section E: Model Development, Deployment & Monitoring",How mature is the AI incident learning loop?,No learning,Informal lessons,Documented reviews,Integrated feedback loops,Continuous improvement automation,B,2,Lessons learned from AI-related issues are shared informally within the team without structured post-incident reviews.
35,Section F: Human-in-the-Loop & Operations,How are human-in-the-loop controls used?,Not used,Manual review,Defined checkpoints,Role-based intervention,Risk-adaptive oversight,B,2,"Developers manually review and validate AI-generated code before use, ensuring human oversight in all cases."
36,Section F: Human-in-the-Loop & Operations,How adaptive is human oversight?,Static,Informal,Based on output type,Based on risk level,Dynamically adjusted,B,2,Human oversight is applied informally based on developer judgment rather than defined risk tiers or automation rules.
37,Section F: Human-in-the-Loop & Operations,How integrated are AI systems into business processes?,Standalone,Limited integration,Embedded in select processes,Integrated across value streams,AI-orchestrated workflows,B,2,AI tools are integrated into individual developer workflows but not deeply embedded into broader business processes.
38,Section F: Human-in-the-Loop & Operations,To what extent does AI automate end-to-end processes?,Not at all,Task-level automation,Partial workflows,Multi-step workflows,End-to-end orchestration,B,2,AI supports task-level automation such as code generation but does not automate end-to-end workflows.
39,"Section G: Talent, Skills & Culture",How well do leaders understand AI capabilities and limits?,Very limited,High-level awareness,Can sponsor initiatives,Can evaluate trade-offs,Shape AI strategy,B,2,Leadership has a high-level understanding of AI capabilities and limitations but does not deeply evaluate technical trade-offs.
40,"Section G: Talent, Skills & Culture",How are AI roles organized?,No AI roles,Isolated specialists,Central AI team,Federated model,Product-aligned AI teams,A,1,There are no dedicated AI roles; AI usage is embedded informally within existing engineering responsibilities.
41,"Section G: Talent, Skills & Culture",How mature is the AI skills inventory?,Unknown,Informal knowledge,Basic inventory,Regular assessment,Strategic workforce planning,B,2,AI-related skills are understood informally based on individual experience rather than a documented inventory.
42,"Section G: Talent, Skills & Culture",How strong are AI training programs?,None,Ad-hoc courses,Basic awareness,Role-based programs,Continuous mandatory training,B,2,AI learning occurs through self-study and ad-hoc sharing rather than structured training programs.
43,"Section G: Talent, Skills & Culture",How resilient is the organization to AI talent attrition?,Individual dependency,Partial knowledge sharing,Documented assets,Cross-trained teams,Institutionalized platforms,B,2,"Some knowledge is shared across the team, but expertise still depends on individual contributors."
44,"Section H: Strategy, Visibility & Value",How clearly are AI priorities communicated?,Not communicated,IT-only,Leadership-level,Enterprise-wide,Embedded in OKRs,C,3,"AI priorities are communicated at the leadership level, primarily around productivity improvements, but not formalized into enterprise-wide objectives."
44,"Section H: Strategy, Visibility & Value",How central is AI to long-term competitive strategy?,Opportunistic,Experimental,Annual planning,Multi-year strategy,Core differentiation,B,2,AI is viewed as an important experimental capability for improving efficiency rather than a core long-term competitive differentiator.
45,Section I: Agentic AI & Autonomous Systems,How are autonomous AI agents utilized within the organization?,Not used at all,Experimental individual use,Supervised single task agents,Multi agent collaborative workflows,Fully autonomous cross functional agentic systems,,,
46,Section I: Agentic AI & Autonomous Systems,What level of human oversight exists for AI agents executing business actions?,No oversight (high risk) or blocked,Manual initiation required for every action,Human in the loop (must approve before execution),"Human on the loop (monitors, can intervene)",Fully autonomous with automated guardrails and rollback,,,
47,Section J: Legal & Intellectual Property (IP),How is intellectual property handled for AI generated code or content?,Not addressed or ignored,Case by case legal review,Broad policy prohibiting use in core IP,Clear guidelines on what can be copyrighted/used,"Automated IP scanning, provenance tracking, and risk flagging",,,
48,Section J: Legal & Intellectual Property (IP),How does the organization handle copyright risks associated with foundational models?,Ignored completely,Rely solely on vendor indemnification clauses,Legal team manually reviews model terms,Only use commercially safe or open source vetted models,Custom models trained exclusively on fully owned data,,,
49,Section J: Legal & Intellectual Property (IP),How are open source AI licenses tracked and managed?,Not tracked,Ad hoc manual review,Standard IT scanning,Automated AI specific dependency tracking,Integrated compliance gating in CI/CD,,,
50,Section K: Change Management & Organizational Design,How is employee anxiety regarding AI driven job displacement managed?,Ignored or dismissed,Reactive reassurances,Leadership communication focusing on AI as augmentation,Formal change management and transition plans,Proactive job redesign with guaranteed upskilling,,,
51,Section K: Change Management & Organizational Design,How has the organizational structure adapted to AI integration?,Unchanged traditional silos,"Temporary, ad hoc AI task forces",Centralized AI Center of Excellence (CoE),Hub and spoke model integrating AI experts into BUs,AI first organizational design with cross functional pods,,,
52,Section K: Change Management & Organizational Design,How is cross functional collaboration on AI projects incentivized?,Siloed efforts,Informal sharing,Recognized but not rewarded,Formal KPIs for cross team AI projects,Embedded in performance and compensation structures,,,
53,Section L: Customer Experience & External AI,How is AI utilized in direct customer interactions?,Not used externally,"Basic, rigid rule based chatbots",Supervised generative AI assistants (drafting replies),"Hyper personalized, context aware autonomous agents","Proactive, multi modal AI orchestrating the entire journey",,,
54,Section L: Customer Experience & External AI,How transparent is the organization with customers about the use of AI?,Concealed or unclear to the user,Buried deep in the terms of service,General disclaimer present on the platform,"Clear, contextual labeling of AI generated interactions",Radical transparency with user controls over personalization,,,
55,Section M: Advanced Data Management (GenAI Focus),"How is unstructured data (text, video, audio) prepared for AI consumption?","Ignored, unstructured data is largely unusable",Manual extraction and cleaning when needed,Basic automated text extraction and standard vectorization,Automated multimodal data pipelines with rich metadata tagging,Dynamic Enterprise Knowledge Graphs integrated with vector DBs,,,
56,Section M: Advanced Data Management (GenAI Focus),"How is the quality and accuracy of retrieved data (e.g., in RAG) evaluated?",Not evaluated post deployment,Anecdotal user feedback (thumbs up/down),Periodic manual review of random sample outputs,Automated evaluation frameworks (relevance and faithfulness),"Continuous, automated optimization based on user telemetry",,,
57,Section M: Advanced Data Management (GenAI Focus),How frequently is enterprise data vectorized and updated for AI search?,Static/one off extraction,Manual periodic batch updates,Automated scheduled batch updates,Event driven near real time indexing,Continuous real time dynamic streaming updates,,,
58,Section N: AI Environmental & Sustainability,How is the energy consumption and carbon footprint of AI workloads measured?,Not considered,Informal estimates,Cloud vendor basic dashboards,Granular tracking of GPU/AI energy usage,Integrated into corporate ESG reporting and strictly capped,,,
59,Section N: AI Environmental & Sustainability,How does the organization optimize AI architectures for energy efficiency?,No optimization,Basic model quantization,Selecting efficient base models,Dynamic workload scheduling during low demand hours,Green AI optimized architectures with dedicated hardware,,,
60,Section O: AI Security & Red Teaming,How is protection against prompt injection and jailbreaking implemented?,No protection,Basic keyword filtering,Use of system prompts to restrict behavior,Dedicated AI firewall / LLM gateway,Continuous adversarial learning and real time semantic filtering,,,
61,Section O: AI Security & Red Teaming,How often does the organization conduct AI specific red teaming exercises?,Never,Only after a security incident,Prior to major production releases,Regular scheduled red teaming intervals,Continuous automated red teaming and active bounty programs,,,
62,Section P: AI FinOps & Value Realization,How are API costs and token usage monitored for Generative AI applications?,Unmonitored,Tracked via monthly vendor bills,Budget alerts set at the project level,Granular token level tracking per user/app,Automated dynamic model routing based on cost/performance,,,
63,Section P: AI FinOps & Value Realization,"How are hardware investments (e.g., GPUs) justified and optimized?",Ad hoc purchases,IT driven centralized purchasing,Cloud first scalable provisioning,FinOps driven capacity planning,Dynamic hybrid cloud bursting for optimal GPU utilization,,,
64,Section P: AI FinOps & Value Realization,How is the business value (ROI) of deployed AI models audited over time?,No auditing,Anecdotal success stories,One time post launch review,Periodic financial audits of AI projects,Real time automated value tracking linked to P&L,,,
65,Section Q: Ecosystem & Partner Integration,How integrated are third party AI capabilities into the core tech stack?,Isolated standalone tools,Manual data transfer between systems,Basic API integrations,Seamless API orchestration within core workflows,Deep ecosystem partnerships with co developed AI features,,,
66,Section Q: Ecosystem & Partner Integration,How are risks associated with third party AI APIs managed?,Ignored,Blind trust in vendor SLA,Contractual data privacy clauses,Active latency and downtime monitoring,Multi vendor failover architectures (no single point of failure),,,
67,Section R: MLOps & Continuous Training,How are generative AI models fine tuned with domain specific data?,Use base models only,Basic prompt engineering only,Occasional manual fine tuning,Standardized PEFT (Parameter Efficient) pipelines,Continuous automated fine tuning (RLHF) from user feedback,,,
68,Section R: MLOps & Continuous Training,How is concept drift identified and corrected in production models?,Not monitored,User complaints trigger review,Periodic manual accuracy checks,Automated statistical drift alerts,Automated shadow model deployment and champion/challenger testing,,,
69,Section S: Multimodal AI Adoption,To what extent are multimodal AI models utilized?,Text only,Siloed text and image tools,Basic image generation added to text workflows,Integrated multimodal pipelines for specific tasks,Native multimodal orchestration across all enterprise touchpoints,,,
